,A,,,,,,B,,,,,,A,,,,,,,,,,,,,,,
Leg extensions,50-8/8/8,50-9/8/8,50-10/10/10,50-11/11/11,50-12/12/12,55-0/0/0,55-2/2/2,55-4/4/4,55-7/7/7,55-9/9/9,55-12/12/12,60-8/8/8,60-10/10/10,60-12/12/12,65-3/3/3,65-5/5/5,65-7/7/7,65-9/9/9,65-12/11/11,65-12/12/12,70-5/5/5,70-7/7/7,70-9/9/9,70-11/11/11,70-15/15/15,75-2/1/0,75-5/5/5,75-8/8/8
Leg curls,57.5-10/8/10,57.5-9/10/9,57.5-12/11/11,57.5-13/12/11,65-9/11/9,65-12/9/9,50-7/7/8,50-7/5/6,50-6/6/5,,,,65-10/10/8,50-7/7/6,65-10/10/7,50-7/7/5,65-10/8/7,65-9/9/9,65-9/8/8,65-9/8/6,50-7/8/7,,50-8/5/5,50-6/7/6,50-8/8/7,50-8/8/7,50-8/8/8,50-9/8/8
Deadlifts,25-12/12/13,30-8/8/9,30-10/10/12,30-13/12/15,30-12/10/11,30-10/12/10,120-9/11/13,120-12/14/15,130-11/13/10,,,,30-11/9/9,130-15/15/15,30-10/10/10,140-10/12/13,30-10/10/10,30-11/11/11,30-10/10/11,30-9/10/10,140-12/12/14,,///,///,140-12/12/14,150-12/12/12,160-12/16/14,///
Pull ups,///,0-6/4/4,0-4/5/4,0-8/8/7,0-5/7/5,0-7/5/6,21-8/8/7,21-8/8/7,0-3/2/1,,,,0-5/4/4,0-6/5/3,0-5/5/4,0-6/5/3,0-6/5/5,0-5/5/5,0-6/6/5,0-5/5/4,0-6/5/5,,0-6/5/4,0-6/5/4,0-7/7/4,0-7/6/5,0-7/7/5,0-8/7/6
Rows,,,,,,,14-13/13/11,14-11/13/13,16-10/10/10,,,,35-8/11/10,18-10/8/10,35-8/8/9,20-9/9/9,35-9/10/10,35-9/11/10,35-9/11/9,35-8/10/9,20-8/9/9,,20-11/12/13,22-10/10/10,22-11/10/10,22-12/11/10,24-9/9/8,24-10/10/10
Shoulder press,10-11/11/12 (lateral raises),17.5-8/9/9,17.5-12/12/12,20-11/11/11,20-12/9/5,20-11/9/7,35 (machine)-12/11/12,40 (machine)-9/8/9,40 (machine)-9/9/10,,,,20-9/9/9,20-10/10/8,20-9/8/8,20-11/9/9,20-8/8/8,20-9/10/8,20-8/6/5,20-9/7/6,20-9/9/10,,35 (machine)-11/10/10,35 (machine)-12/11/10,35 (machine)-12/13/14,40 (machine)-10/8/6,20-10/11/8,20-12/12/8
,,,,,,,,,,,,,B,A,B,A,,,,B,,,,,,,,
Incline dumbbell press,25-11/8/5,25-11/10/10,25-8/8/5 (incline),25-12/9/6,25-12/10/7,25-12/11/11,22-9/10/10,24-11/10/8,24-8/7/7,24-9/8/8,24-10/9/8,24-10/9/8,24-10/10/9,25-10/7/7,60 (machine)-10/9/8,25-8/8/8,25-9/9/8,25-12/10/8,25-12/7/7,24-12/12/12,24-9/10/8,24-12/10/9,24-13/12/10,26-9/9/8,26-9/9/7,26-12/10/9,26-12/9/10,26-8/7/8
Bicep curls,12.5-12/8+2/4+1+1,12.5-8/10+2/5+1+1,12.5-9/9+2/5+1+1,12.5-10/9+3/8+2+1,12.5-12/11+2/8+2+1,15-7/6+1/3+1+0,14-7/5+1/3+1+0,14-8/6+1/4+1+1,14-8/6+1/5+2+1,14-8/6+1/5+1+1,14-8/5+1/4+1+1,"16-5/4+0, 14-3+1+1",14-8/6+2/4+1+1,15-6/5+2/4+1+1,"16-5/4+1, 14-6+2+1",15-6/5+2/6+1+1,15-8/7+1/5+1+1,15-8/6+1/4+1+1,15-8/4+1/4+1+1,14-9/6+1/4+1+1,14-8/5+1/4+2+1,14-8/6+2/6+1+1,14-9/6+1/4+1+1,14-10/7+1/5+1+1,14-10/7+2/6+1+1,14-10/7+1/5+1+1,14-11/7+1/6+2+1,14-13/9+1/6+2+1
